Player,Team,PS,GP,Min,FGM,FGA,X3M,X3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,PM
"smith,greg",dal,PF,40,354,30,48,0,0,19,37,26,79,9,7,11,11,52,0,79,0,0,0,2,-21
"smith,ish",phi,PG,41,419,62,168,8,27,21,37,8,56,92,13,33,3,24,0,153,0,0,0,1,-52
"smith,j.r.",cle,SG,56,1644,249,609,113,309,46,62,25,177,164,70,79,13,132,1,657,5,0,0,37,110
"smith,jason",nyk,C,65,1379,202,462,6,19,91,113,80,246,103,24,73,25,166,2,501,1,0,0,28,-356
"smith,josh",hou,PF,66,1855,333,806,47,160,91,191,122,434,231,72,163,94,182,2,804,7,0,0,32,-100
"smith,russ",mem,PG,8,49,3,15,1,7,7,8,1,4,4,2,10,0,9,0,14,0,0,0,0,-2
"snell,tony",chi,SF,57,1078,123,282,62,152,38,47,26,131,39,31,40,8,61,0,346,0,0,0,17,31
"speights,marrees",gsw,PF,60,1001,263,533,2,12,130,156,93,270,55,13,69,32,160,3,658,2,0,0,9,167
"splitter,tiago",san,PF,40,769,113,215,0,0,64,86,65,178,59,24,41,29,85,0,290,0,0,0,23,94
"stauskas,nik",sac,SG,57,803,74,209,30,104,41,47,8,56,43,14,26,11,69,0,219,0,0,0,0,-127
"stephenson,lance",cha,SG,50,1404,181,482,15,95,60,98,37,254,226,33,114,8,119,0,437,5,0,0,25,-175
"stiemsma,greg",tor,C,14,59,6,7,0,0,2,2,9,13,3,2,6,0,14,0,14,0,0,0,0,-9
"stockton,david",sac,PG,1,7,0,2,0,1,1,1,0,2,1,0,2,0,0,0,1,0,0,0,0,6
"stokes,jarnell",mem,PF,17,111,16,31,0,0,14,26,15,29,3,4,6,4,22,1,46,0,0,0,2,-6
"stoudemire,amare",dal,PF,45,1020,206,372,0,3,113,153,93,277,40,25,71,35,130,3,525,4,0,0,14,-18
"stuckey,rodney",ind,PG,57,1516,277,609,43,108,151,182,31,208,182,48,96,8,111,0,748,1,0,0,36,3
"sullinger,jared",bos,PF,51,1465,298,665,50,173,89,119,137,415,123,38,70,35,136,0,735,2,0,0,49,-32
"taylor,jeff",cha,SF,16,142,19,46,6,17,11,20,6,20,8,5,9,1,15,0,55,0,0,0,2,-80
"teague,jeff",atl,PG,60,1864,345,744,60,179,242,277,19,142,431,101,168,28,119,0,992,0,0,0,59,366
"teletovic,mirza",bro,PF,40,894,122,319,62,193,33,46,27,194,45,14,53,16,74,0,339,0,0,0,4,-10
"telfair,sebastia",okl,PG,16,327,45,124,17,59,24,34,2,30,45,10,18,0,29,0,131,3,0,0,1,-64
"temple,garrett",was,SG,52,742,68,170,33,88,35,48,23,89,56,42,33,9,76,0,204,0,0,0,18,-48
"terry,jason",hou,SG,62,1291,147,354,99,258,32,40,14,96,120,58,61,14,88,0,425,2,0,0,6,102
"thomas,isaiah",bos,PG,56,1457,280,663,106,280,249,285,30,136,225,52,119,5,128,0,915,4,0,0,1,113
"thomas,lance",nyk,SF,45,990,117,304,0,4,53,73,48,151,49,25,48,5,67,1,287,0,0,0,20,-239
"thomas,malcolm",phi,PF,17,194,18,40,0,7,9,13,16,56,7,3,13,1,17,0,45,0,0,0,0,-109
"thomas,tyrus",mem,PF,2,6,1,1,0,0,2,2,0,0,1,0,0,0,0,0,4,0,0,0,0,1
"thompson,hollis",phi,SG,55,1374,160,395,83,215,45,68,39,166,62,46,52,22,110,1,448,0,0,0,21,-311
"thompson,jason",sac,PF,64,1563,146,318,0,1,68,106,107,408,59,27,66,42,193,4,360,5,0,0,55,-145
"thompson,klay",gsw,SG,63,2050,496,1070,196,448,190,217,21,202,186,72,131,53,99,0,1378,1,0,0,63,671
"thompson,tristan",cle,PF,67,1849,230,421,0,0,134,205,241,543,32,29,70,52,166,1,594,2,0,0,12,154
"thornton,marcus",pho,SG,47,715,138,341,53,140,46,56,23,84,36,27,27,7,38,0,375,1,0,0,0,-4
"tolliver,anthony",det,PF,60,984,111,273,71,203,45,58,35,160,37,18,38,13,96,1,338,0,0,0,0,41
"tucker,p.j.",pho,SF,63,1867,204,453,71,202,81,106,88,398,96,86,75,19,140,0,560,8,0,0,48,3
"turiaf,ronny",min,C,2,20,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,-8
"turkoglu,hedo",lac,SF,47,478,52,118,35,81,3,4,5,68,24,15,20,5,46,0,142,1,0,0,0,-1
"turner,evan",bos,SG,65,1733,231,566,28,94,88,113,37,319,321,60,155,15,143,0,578,2,0,0,40,-127
"udoh,ekpe",lac,PF,29,108,7,18,0,0,6,7,6,22,7,6,5,6,14,0,20,0,0,0,0,13
"udrih,beno",mem,PG,63,1147,189,391,20,82,68,79,12,107,180,39,68,6,70,0,466,1,0,0,6,31
"valanciunas,jona",tor,C,63,1660,284,506,0,0,186,233,170,540,24,27,86,72,165,2,754,2,0,0,63,-44
"varejao,anderson",cle,C,26,637,111,200,0,2,33,45,57,170,36,19,35,16,58,0,255,1,0,0,26,5
"vasquez,greivis",tor,PG,65,1488,231,569,98,268,43,59,19,168,236,34,92,8,137,1,603,3,0,0,19,20
"villanueva,charl",dal,PF,49,514,112,267,61,165,17,31,22,117,13,10,24,17,42,0,302,1,0,0,0,-20
"vonleh,noah",cha,PF,14,102,11,27,1,5,10,14,9,27,2,2,4,5,7,0,33,1,0,0,0,-37
"vucevic,nikola",orl,C,59,2033,504,951,2,3,143,186,189,659,109,46,121,42,176,3,1153,3,0,0,59,-233
"wade,dwyane",mia,SG,47,1504,385,810,21,74,215,283,45,176,249,56,160,17,84,0,1006,2,0,0,47,-8
"waiters,dion",okc,SG,63,1623,270,695,50,182,87,119,25,135,121,73,87,17,121,0,677,6,0,0,6,28
"walker,henry",mia,SG,11,295,32,97,21,72,8,10,1,36,12,13,8,4,36,1,93,2,0,0,6,-1
"walker,kemba",cha,PG,44,1539,284,719,68,213,169,207,29,167,229,58,72,26,70,0,805,3,0,0,42,-83
"wall,john",was,PG,66,2352,423,935,55,182,232,302,33,292,660,119,245,41,147,0,1133,6,0,0,66,282
"wallace,gerald",bos,SF,27,226,8,23,1,3,6,10,10,38,6,13,13,4,15,0,23,0,0,0,0,2
"warren,t.j.",pho,SF,26,297,60,115,4,15,7,10,24,48,8,8,14,2,25,0,131,0,0,0,0,-24
"watson,c.j.",ind,PG,46,1174,143,332,56,140,110,131,13,131,170,40,85,8,87,0,452,1,0,0,21,27
"wear,travis",nyk,SF,46,573,77,190,10,28,17,22,26,90,35,12,32,10,48,0,181,0,0,0,1,-55
"webster,martell",was,SF,22,217,14,55,6,26,24,33,4,27,12,4,15,1,18,0,58,0,0,0,0,-100
"west,david",ind,PF,50,1462,265,552,4,17,82,106,87,356,163,41,100,39,119,0,616,5,0,0,50,-61
"westbrook,russel",okl,PG,50,1675,461,1064,55,184,392,467,100,359,420,105,211,8,126,1,1369,12,0,0,50,201
"whiteside,hassan",mia,C,36,797,169,270,0,0,53,100,109,355,4,19,43,85,93,0,391,7,0,0,21,-23
"whittington,shay",ind,PF,20,107,19,42,1,6,18,23,10,29,6,5,5,2,18,0,57,0,0,0,0,14
"wiggins,andrew",min,SG,64,2238,376,866,36,109,222,302,99,276,119,70,122,38,154,0,1010,1,0,0,64,-327
"wilcox,c.j.",lac,SG,18,84,14,31,5,14,2,2,1,5,7,2,6,0,6,0,35,0,0,0,0,-6
"williams,deron",bro,PG,50,1563,218,565,62,171,157,192,17,155,304,50,117,13,115,0,655,3,0,0,37,-24
"williams,derrick",sac,PF,57,1046,148,327,35,107,88,127,27,144,29,25,39,2,49,0,419,0,0,0,5,-224
"williams,elliot",nor,SG,8,75,11,26,7,13,1,2,0,6,7,2,4,0,7,0,30,0,0,0,0,15
"williams,louis",tor,SG,64,1577,288,720,117,351,276,320,21,120,123,73,79,8,87,0,969,1,0,0,0,251
"williams,marvin",cha,PF,60,1492,156,358,72,200,41,59,42,269,72,52,49,26,119,0,425,1,0,0,20,-75
"williams,mo",cha,PG,53,1569,266,647,91,258,128,148,18,129,356,39,139,11,126,0,751,1,0,0,31,-68
"williams,reggie",san,SF,7,35,4,15,1,9,2,2,0,5,4,0,1,0,3,0,11,0,0,0,0,-10
"williams,shawne",det,SF,51,977,111,263,60,162,29,34,29,145,40,24,25,17,123,0,311,2,0,0,22,-89
"withey,jeff",nor,C,31,194,26,54,0,0,26,38,16,45,5,2,7,13,21,0,78,0,0,0,0,-22
"wolters,nate",nor,PG,21,247,20,57,0,7,2,6,8,34,21,8,13,2,18,0,42,0,0,0,0,-11
"wright,brandan",pho,PF,62,1087,182,277,0,1,60,82,101,239,32,39,21,71,88,0,424,0,0,0,0,21
"wright,dorell",por,SF,37,409,48,125,30,75,24,30,9,75,30,15,15,7,40,1,150,0,0,0,1,62
"wroten,tony",phi,SG,30,894,175,434,37,142,120,180,22,86,156,48,114,8,72,1,507,3,0,0,15,-234
"young,james",bos,SG,28,300,32,91,15,59,14,25,9,40,11,7,4,2,18,0,93,0,0,0,0,8
"young,nick",lal,SF,42,997,174,476,83,225,132,148,17,96,41,23,44,11,83,0,563,5,0,0,0,-67
"young,thaddeus",bro,SF,60,1914,356,768,31,87,104,155,90,305,148,102,88,20,140,0,847,0,0,0,52,-234
"zeller,cody",cha,C,61,1468,172,370,1,1,126,162,97,356,96,35,62,49,155,0,471,1,0,0,44,18
"zeller,tyler",bos,C,65,1359,252,467,0,0,126,155,123,370,86,15,62,48,164,1,630,0,0,0,42,-150
